id,transfer date,month,year,transfer season,from club name,to club name,transfer fee,market value,player name,,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
445939,2025,1,23,24/25,E. Frankfurt,Man City,75000000,60000000,Omar Marmoush,,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24,1999,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,0.47,0.23,0.7,0.39,0.63,0.46,0.17,0.63,0.39,0.57
576024,2024,8,12,24/25,Man City,Atlético Madrid,75000000,90000000,Julián Alvarez,,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,36,31,2647,29.4,11,8,19,9,2,2,2,0,13,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61
502670,2025,1,17,24/25,Napoli,Paris SG,70000000,85000000,Khvicha Kvaratskhelia,,ge GEO,FW,Napoli,it Serie A,22,2001,34,32,2737,30.4,11,6,17,11,0,0,8,0,11.1,11.1,6.8,17.9,184,89,266,0.36,0.2,0.56,0.36,0.56,0.37,0.23,0.59,0.36,0.59
258889,2024,8,10,24/25,Bournemouth,Tottenham,64300000,40000000,Dominic Solanke,,eng ENG,FW,Bournemouth,eng Premier League,25,1997,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3,20.3,52,60,184,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55
923831,2024,7,18,24/25,LOSC Lille,Man Utd,62000000,50000000,Leny Yoro,,fr FRA,DF,Lille,fr Ligue 1,17,2005,32,30,2673,29.7,2,0,2,2,0,0,5,0,1.5,1.5,0.1,1.7,8,68,3,0.07,0,0.07,0.07,0.07,0.05,0,0.06,0.05,0.06
487465,2024,8,11,24/25,Wolves,Chelsea,60000000,55000000,Pedro Neto,,pt POR,"FW,MF",Wolves,eng Premier League,23,2000,20,18,1516,16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,98,54,149,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47
485706,2024,7,22,24/25,Everton,Aston Villa,59350000,50000000,Amadou Onana,,be BEL,MF,Everton,eng Premier League,21,2001,30,23,2091,23.2,2,0,2,2,0,0,5,0,2,2,2.7,4.7,21,107,39,0.09,0,0.09,0.09,0.09,0.09,0.11,0.2,0.09,0.2
293385,2024,8,9,24/25,RB Leipzig,Barcelona,55000000,60000000,Dani Olmo,,es ESP,MF,RB Leipzig,de Bundesliga,25,1998,21,17,1449,16.1,4,5,9,4,0,0,0,0,3.3,3.3,5.4,8.8,60,68,111,0.25,0.31,0.56,0.25,0.56,0.21,0.34,0.55,0.21,0.55
360518,2024,8,28,24/25,Atalanta BC,Juventus,54700000,50000000,Teun Koopmeiners,,nl NED,MF,Atalanta,it Serie A,25,1998,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5,5.9,10.9,79,169,190,0.41,0.17,0.58,0.34,0.51,0.22,0.2,0.43,0.17,0.37
566723,2024,7,7,24/25,Crystal Palace,Bayern Munich,53000000,55000000,Michael Olise,,fr FRA,"FW,MF",Crystal Palace,eng Premier League,21,2001,19,14,1275,14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,68,78,134,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.8,0.33,0.74
462250,2024,8,21,24/25,Atlético Madrid,Chelsea,52000000,30000000,João Félix,,pt POR,FW,Barcelona,es La Liga,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69
447661,2024,7,1,24/25,Aston Villa,Juventus,51500000,70000000,Douglas Luiz,,br BRA,MF,Aston Villa,eng Premier League,25,1998,35,35,2993,33.3,9,5,14,5,4,4,12,0,6.9,3.8,5.4,9.2,60,168,50,0.27,0.15,0.42,0.15,0.3,0.21,0.16,0.37,0.11,0.28
257455,2024,7,11,24/25,Fulham,Bayern Munich,51000000,55000000,João Palhinha,,pt POR,MF,Fulham,eng Premier League,28,1995,33,31,2699,30,4,1,5,4,0,0,13,0,3.3,3.3,0.8,4.1,8,97,14,0.13,0.03,0.17,0.13,0.17,0.11,0.03,0.14,0.11,0.14
566931,2025,1,30,24/25,Paris SG,RB Leipzig,50000000,80000000,Xavi Simons,,nl NED,MF,RB Leipzig,de Bundesliga,20,2003,32,32,2653,29.5,8,11,19,7,1,2,11,1,8.3,6.7,9.8,16.4,151,187,216,0.27,0.37,0.64,0.24,0.61,0.28,0.33,0.61,0.23,0.56
476701,2024,8,30,24/25,Paris SG,Man Utd,50000000,45000000,Manuel Ugarte,,uy URU,MF,Paris S-G,fr Ligue 1,22,2001,25,21,1932,21.5,0,2,2,0,0,0,5,0,0.6,0.6,0.9,1.5,16,87,24,0,0.09,0.09,0,0.09,0.03,0.04,0.07,0.03,0.07
914562,2024,8,17,24/25,Stade Rennais,Paris SG,50000000,30000000,Désiré Doué,,fr FRA,"MF,FW",Rennes,fr Ligue 1,18,2005,31,17,1626,18.1,4,4,8,4,0,0,3,0,2.4,2.4,3.7,6.1,78,121,172,0.22,0.22,0.44,0.22,0.44,0.13,0.21,0.34,0.13,0.34
525247,2024,7,6,24/25,Wolves,West Ham,47500000,32000000,Max Kilman,,eng ENG,DF,Wolves,eng Premier League,26,1997,38,38,3420,38,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5,0.05,0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08
326031,2024,8,13,24/25,Bayern Munich,Man Utd,45000000,65000000,Matthijs de Ligt,,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,22,16,1390,15.4,2,0,2,2,0,0,5,0,1.7,1.7,0.1,1.9,16,98,6,0.13,0,0.13,0.13,0.13,0.11,0.01,0.12,0.11,0.12
502821,2024,7,29,24/25,Bologna,Arsenal,45000000,45000000,Riccardo Calafiori,,it ITA,DF,Bologna,it Serie A,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28,96,23,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.1,0.05,0.1
485585,2024,7,1,24/25,Chelsea,Aston Villa,44500000,40000000,Ian Maatsen,,nl NED,"FW,MF",Chelsea,eng Premier League,21,2002,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,8,15,0,0,0,0,0,0.35,0.04,0.39,0.35,0.39
435648,2024,7,14,24/25,Bologna,Man Utd,42500000,50000000,Joshua Zirkzee,,nl NED,FW,Bologna,it Serie A,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,9,7.4,5.2,12.6,53,86,182,0.36,0.13,0.49,0.29,0.42,0.29,0.17,0.46,0.24,0.41
488362,2024,8,21,24/25,Chelsea,Atlético Madrid,42000000,50000000,Conor Gallagher,,eng ENG,MF,Chelsea,eng Premier League,23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5,9.2,62,172,122,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27
567576,2024,7,1,24/25,Newcastle,Nottm Forest,41200000,15000000,Elliot Anderson,,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20,2002,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70,0,0.18,0.18,0,0.18,0.13,0.17,0.3,0.13,0.3
763079,2025,1,20,24/25,Lens,Man City,40000000,12000000,Abdukodir Khusanov,,uz UZB,DF,Lens,fr Ligue 1,19,2004,11,9,809,9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5,23,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
661171,2024,8,9,24/25,E. Frankfurt,Paris SG,40000000,35000000,Willian Pacho,,ec ECU,DF,Eint Frankfurt,de Bundesliga,21,2001,33,33,2970,33,0,3,3,0,0,0,7,0,1.2,1.2,1.1,2.3,22,148,4,0,0.09,0.09,0,0.09,0.04,0.03,0.07,0.04,0.07
386446,2024,7,13,24/25,Torino,Napoli,35000000,35000000,Alessandro Buongiorno,,it ITA,DF,Torino,it Serie A,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0,0.11,0.11,0.11,0.06,0,0.06,0.06,0.06
351809,2024,7,27,24/25,Real Sociedad,Atlético Madrid,34500000,40000000,Robin Le Normand,,es ESP,DF,Real Sociedad,es La Liga,26,1996,29,28,2469,27.4,2,0,2,2,0,0,13,0,1,1,0.1,1.2,21,106,1,0.07,0,0.07,0.07,0.07,0.04,0,0.04,0.04,0.04
670858,2024,7,1,24/25,Chelsea,Newcastle,33000000,18000000,Lewis Hall,,eng ENG,DF,Newcastle Utd,eng Premier League,18,2004,18,8,781,8.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,19,46,27,0.12,0,0.12,0.12,0.12,0.04,0.03,0.07,0.04,0.07
